52.7: 2.0 2.0 (8), 90 (0) 35 145
52.8: 2.0 2.0 (4), 90 (0) 35 145
53.0: 2.0 2.0 (23), 92 (8) 35 145
53.1: 2.0 2.0 (2), 63 (0) 23 157
53.3: 2.0 2.0 (3), 99 (13) 38 142
53.6: 2.0 2.0 (3), 65 (17) 24 156
53.8: 2.0 2.0 (8), 90 (0) 34 146
54.3: 2.0 2.0 (4), 76 (13) 28 152
54.5: 2.0 2.0 (4), 103 (13) 39 141
54.9: 2.0 2.0 (2), 90 (0) 33 147
55.0: 2.0 2.0 (2), 90 (0) 33 147
55.5: 2.0 2.0 (2), 90 (0) 33 147
55.7: 2.0 2.0 (4), 90 (0) 32 148
55.8: 2.0 2.0 (2), 63 (0) 22 158
55.9: 2.0 2.0 (4), 90 (0) 32 148
56.1: 2.0 2.0 (2), 90 (0) 32 148
56.4: 2.0 2.0 (4), 90 (0) 32 148
57.5: 2.0 2.0 (2), 90 (0) 31 149
57.7: 2.0 2.0 (6), 81 (13) 28 152
57.8: 2.0 2.0 (2), 90 (0) 31 149
58.1: 2.0 2.0 (2), 27 (0) 9 171
58.7: 2.0 2.0 (2), 90 (0) 31 149
58.8: 2.0 2.0 (2), 63 (0) 21 159
59.0: 2.0 2.0 (2), 63 (0) 21 159
59.2: 2.0 2.0 (2), 90 (0) 30 150
59.5: 2.0 2.0 (2), 90 (0) 30 150
59.9: 2.0 2.0 (2), 117 (0) 40 140
60.3: 2.0 2.0 (2), 90 (0) 30 150
61.5: 2.0 2.0 (28), -92 (7) 330 210
61.6: 2.0 2.0 (2036), -96 (12) 329 211
61.7: 2.0 2.0 (2571), -95 (11) 329 211
61.8: 2.0 2.0 (3199), -96 (12) 329 211
61.9: 2.0 2.0 (3254), -94 (11) 330 210
62.0: 2.0 2.0 (3031), -95 (11) 329 211
62.1: 2.0 2.0 (3680), -95 (11) 329 211
62.2: 2.0 2.0 (4238), -95 (11) 329 211
62.3: 2.0 2.0 (3977), -95 (11) 330 210
62.4: 2.0 2.0 (3579), -95 (11) 330 210
62.5: 2.0 2.0 (4259), -94 (10) 330 210
62.6: 2.0 2.0 (4354), -94 (10) 330 210
62.7: 2.0 2.0 (4282), -94 (10) 330 210
62.8: 2.0 2.0 (4493), -93 (9) 331 209
62.9: 2.0 2.0 (4646), -94 (10) 330 210
63.0: 2.0 2.0 (4955), -94 (10) 330 210
63.1: 2.0 2.0 (4663), -93 (10) 331 209
63.2: 2.0 2.0 (5584), -93 (9) 331 209
63.3: 2.0 2.0 (5392), -93 (9) 331 209
63.4: 2.0 2.0 (5542), -92 (9) 331 209
63.5: 2.0 2.0 (4961), -92 (9) 331 209
63.6: 2.0 2.0 (5225), -92 (8) 331 209
63.7: 2.0 2.0 (4793), -90 (8) 332 208
63.8: 2.0 2.0 (4262), -91 (8) 332 208
63.9: 2.0 2.0 (3897), -90 (8) 332 208
64.0: 2.0 2.0 (3601), -91 (8) 332 208
64.1: 2.0 2.0 (3724), -90 (8) 332 208
64.2: 2.0 2.0 (3240), -91 (8) 332 208
64.3: 2.0 2.0 (3147), -90 (9) 332 208
64.4: 2.0 2.0 (2521), -90 (9) 332 208
64.5: 2.0 2.0 (2060), -90 (9) 332 208
64.6: 2.0 2.0 (1605), -91 (9) 332 208
64.7: 2.0 2.0 (1479), -91 (8) 332 208
